derivare: :v.intr. e tr.
descrivere: :v.tr.
descrizione: :s.f.
desiderare: :v.tr.
desiderio: :s.m.
destinare: :v.tr.
destino: :s.m.
destra: :s.f.
destro: :agg., s.m.
determinare: :v.tr.
determinato: :p.pass., agg.
dettaglio: :s.m.
di: :prep.
dialetto: :s.m.
dialogo: :s.m.
diamante: :s.m.
diavolo: :s.m.
dicembre: :s.m.
dichiarare: :v.tr.
dichiarazione: :s.f.
dieci: :agg.num.card.inv., s.m.inv., s.m.pl.,s.f.pl.
dietro: :prep., avv., agg.inv., s.m.
difendere: :v.tr.
difesa: :s.f.
differente: :p.pres.,agg.
differenza: :s.f.
difficile: :agg., s.m.
difficoltà: :s.f.inv.
diffondere: :v.tr.
dimensione: :s.f.
dimenticare: :v.tr.
dimostrare: :v.tr., v. intr.
dio: :s.m.
dipendente: :p.pres., agg., s.m. e f.
dipendere: :v.intr.
dire: :v.tr. e intr., s.m.
direttamente: :avv.
diretto: :p.pass., agg., s.m.
direttore: :s.m., agg.
direzione: :s.f.
dirigere: :v.tr.
diritto: :s.m.
disco: :s.m.
discorso: :s.m.
discussione: :s.f.
discutere: :v.tr. e intr.
disegnare: :v.tr.
disegno: :s.m.
dispiacere: :v.intr.
disponibile: :agg., s.m.
disporre: :v.tr. e intr.
disposizione: :s.f.
distanza: :s.f.
distinguere: :v.tr.
distribuire: :v.tr.
distruggere: :v.tr.
dito: :s.m.
divano: :s.m.
divenire: :v.intr., s.m.
diventare: :v.intr.
diverso: :agg., agg.indef., pron.indef., s.m.
divertente: :p.pres., agg.
divertire: :v.tr.
dividere: :v.tr.
documento: :s.m.
dodici: :agg.num.card.inv., s.m.inv., s.f.pl., s.m.pl.
dolce: :agg., s.m., avv.
dollaro: :s.m.
dolore: :s.m.
domanda: :s.f.
domandare: :v.tr. e intr.
domani: :avv., s.m.inv.
domenica: :s.f.
don: :s.m.inv.
donna: :s.f.
dopo: :avv., prep., cong., agg.inv., s.m.inv.
doppio: :agg., s.m., avv.
dormire: :v.intr., v.tr.
dottore: :s.m.
dove: :avv., cong., s.m.inv.
dovere: :v.tr.
dovere: :s.m.
droga: :s.f.
dubbio: :s.m.
due: :agg.num.card.inv.,s.m.inv., s.f.pl.
dunque: :cong., s.m.inv.
durante: :p.pres., prep., s.m.inv.
durare: :v.intr.,v.tr.
durata: :s.f.
duro: :agg.,s.m., avv.
e: :cong.
ebreo: :agg.,s.m.
ecco: :avv.
economia: :s.f.
economico: :agg., s.m.
edicola: :s.f.
edificio: :s.m.
editore: :s.m., agg.
edizione: :s.f.
educazione: :s.f.
effettivamente: :avv.
effetto: :s.m.
effettuare: :v.tr.
egli: :pron.pers. di terza pers.m.sing.
elegante: :agg.
elementare: :agg.
elemento: :s.m.
elenco: :s.m.
elettrico: :agg., s.m.
elettronico: :agg.
eliminare: :v.tr.
e-mail: :s.f.inv.
emergere: :v.intr.
emozione: :s.f.
energia: :s.f.
enorme: :agg.
ente: :s.m.
entrambi: :pron.num.pl., agg.num.pl.
entrare: :v.intr., v.tr.,s.m.
entrata: :s.f.
entro: :prep., avv.
episodio: :s.m.
epoca: :s.f.
eppure: :cong.
equilibrio: :s.m.
era: :s.f.
eroe: :s.m.
errore: :s.m.
esame: :s.m.
esattamente: :avv.
esatto: :agg., avv.
escludere: :v.tr.
eseguire: :v.tr.
esempio: :s.m.
esercito: :s.m.
esercizio: :s.m.
esigenza: :s.f.
esistenza: :s.f.
esistere: :v.intr.
esperienza: :s.f.
esperto: :p.pass., agg., s.m.
esporre: :v.tr.
espressione: :s.f.
esprimere: :v.tr.
essa: :pron.pers.  di terza pers.f.
essere: :v.intr.
essere: :s.m.
essi: :pron.pers. di terza pers.m.pl.
esso: :pron.pers. di terza pers.m.sing.
estate: :s.f.
esterno: :agg., s.m.
estero: :agg., s.m.
estremo: :agg., s.m.
età: :s.f.inv.
euro: :s.m.inv.
europeo: :agg., s.m.
evento: :s.m.
eventuale: :agg.
evidente: :agg.
evidentemente: :avv.
evitare: :v.tr.
ex: :agg. inv., s.m. e f.inv., prep.
fa: :avv.
fabbrica: :s.f.
faccia: :s.f.
facile: :agg.,avv.
facilmente: :avv.
falso: :agg., avv., s.m.
fame: :s.f.
famiglia: :s.f.
familiare: :agg.,s.m. e f.
famoso: :agg.
fantasia: :s.f.
fantastico: :agg.,s.m.
fare: :v.tr. e intr., s.m.
fascia: :s.f.
fase: :s.f.
fastidio: :s.m.
fatica: :s.f.
fatto: :s.m.
fattore: :s.m.
favore: :s.m.
febbraio: :s.m.
fede: :s.f.
felice: :agg.
femmina: :s.f.
femminile: :agg., s.m., s.f.
fenomeno: :s.m.
ferita: :s.f.
fermare: :v.tr., v. intr.
fermo: :agg.
ferro: :s.m.
festa: :s.f.
festeggiare: :v.tr. e intr.
fianco: :s.m.
fidarsi: :v.pronom.intr.
fiducia: :s.f.
figlia: :s.f.
figlio: :s.m.
figura: :s.f.
figurare: :v.tr. e intr.
fila: :s.f.
file: :s.m.inv.
film: :s.m.inv.
filo: :s.m.
filosofia: :s.f.
finale: :agg.,s.m., s.f.
finalmente: :avv.
finanziario: :agg.
finché: :cong.
fine: :s.f. e m.
finestra: :s.f.
fingere: :v.tr.
finire: :v.tr. e intr., s.m.
fino: :prep.,avv.
finto: :p.pass.,agg.
fiore: :s.m.
firma: :s.f.
firmare: :v.tr.
fisico: :agg.,s.m.
fissare: :v.tr.
fisso: :agg., avv., s.m.
fiume: :s.m.
foglio: :s.m.
fondamentale: :agg.,s.f., s.m.
fondare: :v.tr.
fondo: :agg.,s.m., avv., loc. di comando
fonte: :s.f.,s.m.
forma: :s.f.
formare: :v.tr.
formazione: :s.f.
formula: :s.f.
fornire: :v.tr.
forse: :avv., s.m.inv.
forte: :agg., avv., s.m.
fortuna: :s.f.
forza: :s.f.
foto: :s.f.inv.
fotografia: :s.f.
fra: :prep.
francese: :agg.,s.m. e f.
frase: :s.f.
fratello: :s.m.
freddo: :agg.,s.m.
fregare: :v.tr.
frequentare: :v.tr., v. intr.
fresco: :agg.,s.m.
fretta: :s.f.
fronte: :s.f.,s.m.
frutto: :s.m.
fuga: :s.f.
fuggire: :v.intr. e tr.
fumare: :v.intr. e tr., s.m
fumo: :s.m.,agg.inv.
funzionare: :v.intr.
funzione: :s.f.
fuoco: :s.m.,loc. di comando
fuori: :avv., prep., s.m.inv.,agg.inv.
futuro: :agg.,s.m.
gamba: :s.f.
gara: :s.f.
garantire: :v.tr. e intr.
gas: :s.m.inv.
gatto: :s.m.
generale: :agg.,s.m. e f.
generare: :v.tr.
generazione: :s.f.
genere: :s.m.
genitore: :s.m.
gennaio: :s.m.
gente: :s.f.
gentile: :agg., s.m.
gestione: :s.f.
gestire: :v.tr.
gesto: :s.m.
gettare: :v.tr.
già: :avv.
giacca: :s.f.
giallo: :agg., s.m.
giapponese: :agg., s.m. e f.
giardino: :s.m.
ginocchio: :s.m.
giocare: :v.intr. e tr.
giocatore: :s.m.
gioco: :s.m.
gioia: :s.f.
giornale: :s.m., agg.
giornalista: :s.m. e f.
giornata: :s.f.
giorno: :s.m.
giovane: :agg., s.m. e f.
girare: :v.tr. e intr.
giro: :s.m.
giù: :avv., agg.inv.
giudicare: :v.tr. e intr.
giudice: :s.m. e f.
giudizio: :s.m.
giugno: :s.m.
giungere: :v.intr. e tr.
giurare: :v.tr.
giustizia: :s.f.
giusto: :agg., s.m., avv.
gli: :pron.pers. di terza pers.m.sing.
godere: :v.intr. e tr.
governo: :s.m.
grado: :s.m.
grande: :agg., s.m.
grasso: :agg., s.m.
grave: :agg., s.m., avv.
grazie: :inter., s.m.inv.
greco: :agg., s.m.
gridare: :v.intr. e tr.
grigio: :agg., s.m.
grosso: :agg., s.m.
gruppo: :s.m.
guadagnare: :v.tr., v. intr.
guardare: :v.tr. e intr.
guardia: :s.f.
guerra: :s.f.
guida: :s.f.
guidare: :v.tr.
gusto: :s.m.
idea: :s.f.
ideale: :agg.,s.m.
identificare: :v.tr.
identità: :s.f.inv.
idiota: :agg., s.m. e f.
ieri: :avv., s.m.inv.
ignorare: :v.tr.
il: :art.det.m.sing., pron.pers. di terza pers.m.sing., pron.dimostr.
immaginare: :v.tr., s.m.
immagine: :s.f.
immediatamente: :avv.
immobile: :agg., s.m.
imparare: :v.tr.
impedire: :v.tr.
impegnare: :v.tr.
impegno: :s.m.
impianto: :s.m.
impiegare: :v.tr.
imporre: :v.tr., v. intr.
importante: :p.pres., agg., s.m.
importanza: :s.f.
importare: :v.intr., v.tr.
impossibile: :agg., s.m.
impresa: :s.f.
impressione: :s.f.
improvviso: :agg., s.m.
imputato: :p.pass., agg., s.m.
in: :prep.
incidente: :s.m.
incontrare: :v.tr., v. intr.
incontro: :s.m.
incredibile: :agg.
indagine: :s.f.
indicare: :v.tr.
indicazione: :s.f.
indice: :s.m., agg.
indietro: :avv., agg.inv., loc. di comando
indirizzo: :s.m.
individuare: :v.tr.
individuo: :s.m., agg.
indossare: :v.tr.
industria: :s.f.
industriale: :agg., s.m. e f.
infatti: :cong., avv.
inferiore: :agg.
infilare: :v.tr.
infine: :avv.
infinito: :agg., s.m.
informare: :v.tr.
informazione: :s.f.
inglese: :agg., s.m. e f.
ingresso: :s.m.
iniziale: :agg., s.f.
iniziare: :v.intr. e tr.
iniziativa: :s.f.
inizio: :s.m.
innamorarsi: :v.pronom.intr.
inoltre: :avv.
insegnante: :p.pres., agg., s.m. e f.
insegnare: :v.tr.
inserire: :v.tr.
insieme: :avv., s.m.
insistere: :v.intr.
insomma: :avv.
intanto: :avv.
intelligente: :agg.
intendere: :v.tr., v. intr.
intenso: :agg.
intenzione: :s.f.
interessante: :p.pres., agg.
interessare: :v.tr. e intr.
interesse: :s.m.
internazionale: :agg., s.m. e f.
internet: :s.m. e f.inv.
interno: :agg., s.m.
intero: :agg., s.m.
interpretare: :v.tr.
interrompere: :v.tr.
intervenire: :v.intr.
intervento: :s.m.
intervista: :s.f.
intorno: :avv., prep., agg.inv., s.m.
introdurre: :v.tr.
inutile: :agg.
invece: :avv.
inventare: :v.tr.
inverno: :s.m.
investire: :v.tr., v. intr.
inviare: :v.tr.
invitare: :v.tr.
io: :pron.pers. di prima pers.sing., s.m.inv.
ipotesi: :s.f.inv.
iscrivere: :v.tr.
isola: :s.f.
ispirare: :v.tr.
istante: :s.m.
istituto: :s.m.
istituzione: :s.f.
istruzione: :s.f.
italiano: :agg.,s.m.
là: :avv.
la: :art.det.f.sing., pron.pers. di terza pers.f.sing.
labbro: :s.m.
laboratorio: :s.m.
lacrima: :s.f.
lago: :s.m.
lamentare: :v.tr., v. intr.
lanciare: :v.tr., v. intr.
largo: :agg., s.m., avv.
lasciare: :v.tr.
lato: :s.m.
latte: :s.m., s.m.inv., agg.inv.
lavare: :v.tr.
lavorare: :v.intr. e tr.
lavoratore: :agg., s.m.
lavoro: :s.m.
le: :art.det.f.pl., pron.pers. di terza pers.f.pl.
le: :pron.pers. di terza pers.f.sing.
legale: :agg., s.m.
legare: :v.tr. e intr.
legato: :p.pass., agg., s.m.
legge: :s.f.
leggere: :v.tr.
leggero: :agg., avv., s.m.
legno: :s.m.
lei: :pron.pers. di terza pers.f.sing., s.m.inv., s.f.inv.
lentamente: :avv.
lento: :agg., s.m., avv.
lettera: :s.f.
letteratura : :s.f.
letto: :s.m.
lettore: :s.m.
lettura: :s.f.
levare: :v.tr., s.m.
lezione: :s.f.
lì: :avv.
li: :pron.pers. di terza pers.m.pl.
liberare: :v.tr.
libero: :agg., s.m.
libertà: :s.f.inv.
libro: :s.m.
limitare: :v.tr.
limite: :s.m., agg.inv.
linea: :s.f.
lingua: :s.f.
linguaggio: :s.m.
liquido: :agg., s.m.
lira: :s.f.
lista: :s.f.
litigare: :v.intr., v.tr.
livello: :s.m.
lo: :art.det.m.sing., pron.pers. di terza pers.m.sing.
locale: :agg., s.m. e f.
locale: :s.m.
lontano: :agg., avv., s.m.
loro: :pron.pers. di terza pers.m. e f.pl., agg.poss. di terza pers.pl., pron.poss. di terza pers.pl.
lotta: :s.f.
luce: :s.f.
luglio: :s.m.
lui: :pron.pers. di terza pers.m.sing., s.m.inv.
luna: :s.f.
lunedì: :s.m.inv.
lungo: :agg.,prep., s.m.
luogo: :s.m.
lupo: :s.m.
ma: :cong.,s.m.inv.
macchia: :s.f.
macchina: :s.f.
madre: :s.f.
maestro: :s.m., agg.
magari: :inter., cong., avv.
maggio: :s.m.
maggioranza: :s.f.
magico: :agg.
maglia: :s.f.
mai: :avv.
malato: :agg., s.m.
malattia: :s.f.
male: :avv., inter.
male: :s.m.
mamma: :s.f.
mancanza: :s.f.
mancare: :v.intr., v.tr.
mandare: :v.tr.
mangiare: :v.tr.
maniera: :s.f.
manifestare: :v.tr. e intr.
manifestazione: :s.f.
mano: :s.f.
mantenere: :v.tr.
marco: :s.m.
mare: :s.m.
marito: :s.m.
marzo: :s.m.
maschile: :agg., s.m.
maschio: :s.m., agg.
massa: :s.f., avv.
massimo: :agg., s.m., avv.
materia: :s.f.
materiale: :agg., s.m.
matrimonio: :s.m.
mattina: :s.f.
mattino: :s.m.
matto: :agg., s.m.
me: :pron.pers. di prima pers.sing., s.m.inv.
meccanico: :agg., s.m.
meccanismo: :s.m.
media: :s.f.
medicina: :s.f.
medico: :s.m.
medio: :agg., s.m.
meglio: :avv., agg.inv., s.m.inv.
membro: :s.m.
memoria: :s.f.
meno: :avv., agg.compar.inv., prep., s.m.inv.
mentale: :agg.
mente: :s.f.
mentire: :v.intr. e tr.
mentre: :cong.
meraviglioso: :agg., s.m.
mercato: :s.m.
merda: :s.f.
meridionale: :agg., s.m. e f.
meritare: :v.tr. e intr.
merito: :s.m.
mese: :s.m.
messaggio: :s.m.
mestiere: :s.m.
metà: :s.f.inv.
metodo: :s.m.
metro: :s.m.
mettere: :v.tr. e intr.
mezzo: :agg., s.m., avv.
mi: :pron.pers. di prima pers.sing.
mica: :s.f., avv.
migliaio: :s.m.
migliorare: :v.tr. e intr.
migliore: :agg., s.m. e f.,avv.
mila: :agg.num.card.inv.
miliardo: :s.m.
milione: :s.m.
militare: :agg., s.m.
mille: :agg.num.card.inv., s.m.inv.
minacciare: :v.tr.
minimo: :agg., s.m.
ministero: :s.m.
ministro: :s.m.
minore: :agg., s.m. e f.
minuto: :s.m.
mio: :agg.poss. di prima pers.sing., pron. poss. di prima pers.sing.
miracolo: :s.m.
missione: :s.f.
mistero: :s.m.
misura: :s.f.
mobile: :agg., s.m., s.f.
moda: :s.f.
modello: :s.m.
moderno: :agg., s.m.
modificare: :v.tr.
modo: :s.m.
moglie: :s.f.
molto: :agg.indef., pron.indef., avv., s.m.
momento: :s.m.
mondiale: :agg., s.m.
mondo: :s.m.
moneta: :s.f.
montagna: :s.f.
monte: :s.m.
morale: :agg., s.f., s.m.
morire: :v.intr., v.tr.
morte: :s.f.
morto: :p.pass., agg., s.m.
mostra: :s.f.
mostrare: :v.tr., v. intr.
motivo: :s.m.
moto: :s.m.
motore: :agg., s.m.
movimento: :s.m.
muovere: :v.tr. e intr.
muro: :s.m.
muscolo: :s.m.
museo: :s.m.
musica: :s.f.
musicale: :agg.
nascere: :v.intr., s.m.
nascita: :s.f.
nascondere: :v.tr.
nascosto: :p.pass., agg., s.m.
naso: :s.m.
nastro: :s.m.
natale: :agg., s.m.
natura: :s.f.
naturale: :agg., s.m.
naturalmente: :avv.
nave: :s.f.
nazionale: :agg., s.f. e m.
nazione: :s.f.
né: :cong.
ne: :pron.pers., avv.
neanche: :avv.
necessario: :agg., s.m.
necessità: :s.f.inv.
negare: :v.tr.
negativo: :agg., s.m., avv.
negozio: :s.m.
nemico: :agg., s.m.
nemmeno: :avv.
neppure: :avv.
nero: :agg., s.m.
nervoso: :agg., s.m.
nessuno: :agg.indef., pron. indef.m., s.m.
neve: :s.f.
niente: :pron.indef.inv., s.m.inv., agg.inv., avv.
nipote: :s.m. e f.
no: :avv., s.m.inv., agg.inv.
noi: :pron.pers. di prima pers.pl.
nome: :s.m.
nominare: :v.tr.
non: :avv.
nonna: :s.f.
nonno: :s.m.
nonostante: :prep., cong.
